doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
ZAPOTEC_ZOOGOCHO,Otomanguean,zpq,1000,17.25,-96.25,SouthAmerica,65
PECH,Chibchan,pay,990,15.0,-85.5,SouthAmerica,28
ARCHI,Nakh-Daghestanian,aqc,970,42.0,46.83,Asia,91
WAU,Nuclear_Torricelli,kms,960,-3.83,143.83,Oceania,29
HADZA,Hadza,hts,950,-3.75,35.17,Africa,62
BAKAIRI,Cariban,bkq,950,-14.0,-55.0,SouthAmerica,29
TUYUCA_2,Tucanoan,tue,940,0.5,-70.08,SouthAmerica,23
MANSI,Uralic,mns,940,62.0,62.0,Europe,31
WAIMIRI_ATROARI,Cariban,atr,930,-0.5,-60.5,SouthAmerica,27
ISEBE,Nuclear_Trans_New_Guinea,igo,910,-5.2,145.71,Oceania,23
ANEITYUM_2,Austronesian,aty,900,-20.2,169.8,Oceania,26
NINAM,Yanomamic,shb,900,3.5,-62.83,SouthAmerica,25
PARAKANA,Tupian,pak,900,-4.75,-50.0,SouthAmerica,17
SERI,Seri,sei,900,29.0,-112.0,SouthAmerica,25
SAMO,East_Strickland,smq,900,-6.17,142.25,Oceania,18
MANTJILTJARA,Pama-Nyungan,mpj,880,-22.67,125.08,Oceania,24
WAYANA,Cariban,way,850,3.25,-54.17,SouthAmerica,16
MIRANA,Boran,boa,850,-2.17,-72.33,SouthAmerica,41
JARAWARA,Arawan,jaa,800,-7.5,-65.5,SouthAmerica,15
URUBU_KAAPOR,Tupian,urb,800,-2.33,-46.5,SouthAmerica,26
LONIU,Austronesian,los,780,-2.07,147.3,Oceania,23
GUUGU_YIMIDHIR,Pama-Nyungan,kky,780,-15.0,144.83,Oceania,23
XOKLENG,Nuclear-Macro-Je,xok,760,-24.5,-50.0,SouthAmerica,37
GUANANO,Tucanoan,gvc,750,0.83,-69.5,SouthAmerica,24
YAREBA,Yareban,yrb,750,-9.5,148.5,Oceania,18
RAMA,Chibchan,rma,740,11.75,-83.75,SouthAmerica,28
KAWKI,Aymaran,jqr,740,-13.0,-76.0,SouthAmerica,42
DENI,Arawan,dny,740,-6.0,-67.0,SouthAmerica,22
NAMBIKWARA,Nambiquaran,nab,720,-13.0,-59.0,SouthAmerica,43
NUKAK_MAKU,Kakua-Nukak,mbr,700,2.65,-71.46,SouthAmerica,24
THAVUNG_SO,Austroasiatic,thm,700,17.42,103.33,Asia,72
KATUKINA_PANO,Pano-Tacanan,knt,700,-8.0,-71.33,SouthAmerica,19
AWTUW,Sepik,kmn,700,-3.58,142.0,Oceania,18
TUMAWO,Sko,skv,700,-2.67,140.92,Oceania,23
SKOLT_SAAMI,Uralic,sms,650,68.0,30.0,Europe,75
WAREKENA,Arawakan,gae,650,1.5,-67.5,SouthAmerica,25
CARAPANA,Tucanoan,cbc,642,0.83,-70.75,SouthAmerica,23
YUWANA_2,Jodi-Saliban,yau,640,5.0,-65.75,SouthAmerica,35
BANIWA,Arawakan,bwi,610,2.7,-66.3,SouthAmerica,37
KYIRONG,Sino-Tibetan,kgy,600,28.25,85.4,Asia,63
CHICKASAW,Muskogean,cic,600,34.0,-97.09,NorthAmerica,25
HIXKARYANA,Cariban,hix,600,-1.0,-59.0,SouthAmerica,23
SOUTH_SAAMI,Uralic,sma,600,64.67,16.75,Europe,45
